account_id;district_id;frequency;date;Account_type
185;32;POPLATEK MESICNE;1997-07-04;Savings account
186;1;POPLATEK TYDNE;1993-07-29;NRI account
187;5;POPLATEK MESICNE;1993-03-28;NRI account
188;54;POPLATEK MESICNE;1993-04-20;Savings account
189;76;POPLATEK MESICNE;1997-04-16;Savings account
190;74;POPLATEK MESICNE;1995-03-02;Salary account
191;41;POPLATEK MESICNE;1997-03-17;NRI account
192;55;POPLATEK MESICNE;1993-01-08;Salary account
193;69;POPLATEK MESICNE;1996-12-22;NRI account
194;44;POPLATEK MESICNE;1996-08-01;NRI account
195;70;POPLATEK MESICNE;1997-02-27;NRI account
196;4;POPLATEK MESICNE;1993-11-14;NRI account
197;1;POPLATEK MESICNE;1993-02-25;Savings account
198;70;POPLATEK MESICNE;1993-10-25;NRI account
199;70;POPLATEK MESICNE;1996-10-26;Savings account
200;17;POPLATEK MESICNE;1994-07-03;Salary account
201;63;POPLATEK MESICNE;1994-11-02;Savings account
204;67;POPLATEK MESICNE;1996-01-13;NRI account
205;1;POPLATEK MESICNE;1997-10-08;Savings account
206;61;POPLATEK MESICNE;1995-04-08;Salary account
207;2;POPLATEK MESICNE;1993-07-25;NRI account
208;54;POPLATEK MESICNE;1996-03-27;Savings account
209;37;POPLATEK MESICNE;1996-11-24;Savings account
210;48;POPLATEK MESICNE;1996-03-17;Savings account
211;28;POPLATEK MESICNE;1997-07-19;Savings account
212;27;POPLATEK TYDNE;1993-01-20;Savings account
213;73;POPLATEK MESICNE;1995-08-29;NRI account
214;22;POPLATEK MESICNE;1997-03-09;Savings account
215;31;POPLATEK MESICNE;1997-11-25;Salary account
216;38;POPLATEK MESICNE;1994-05-16;Salary account
217;77;POPLATEK MESICNE;1995-01-20;Salary account
218;68;POPLATEK MESICNE;1996-02-06;NRI account
219;28;POPLATEK MESICNE;1995-09-06;Salary account
220;72;POPLATEK MESICNE;1993-04-09;Savings account
221;19;POPLATEK MESICNE;1996-10-30;NRI account
222;37;POPLATEK MESICNE;1993-03-15;NRI account
223;39;POPLATEK MESICNE;1995-06-13;NRI account
224;15;POPLATEK MESICNE;1996-10-27;Salary account
225;1;POPLATEK MESICNE;1993-07-28;Savings account
226;70;POPLATEK MESICNE;1997-02-23;Salary account
227;27;POPLATEK MESICNE;1995-03-28;Savings account
228;5;POPLATEK MESICNE;1993-09-28;NRI account
229;1;POPLATEK MESICNE;1997-06-07;Salary account
230;1;POPLATEK MESICNE;1996-02-26;NRI account
231;22;POPLATEK MESICNE;1995-04-03;NRI account
232;45;POPLATEK MESICNE;1997-11-29;Savings account
234;73;POPLATEK MESICNE;1993-07-15;NRI account
235;41;POPLATEK MESICNE;1993-10-06;NRI account
236;72;POPLATEK MESICNE;1996-03-16;Salary account
237;50;POPLATEK MESICNE;1994-03-25;Savings account
238;6;POPLATEK MESICNE;1993-08-15;Savings account
239;69;POPLATEK TYDNE;1993-03-01;NRI account
240;72;POPLATEK MESICNE;1997-04-28;NRI account
241;15;POPLATEK MESICNE;1996-09-29;NRI account
242;69;POPLATEK MESICNE;1996-08-29;NRI account
243;55;POPLATEK TYDNE;1993-11-06;Savings account
244;24;POPLATEK MESICNE;1993-02-08;Salary account
245;65;POPLATEK MESICNE;1993-11-25;Salary account
246;65;POPLATEK MESICNE;1997-12-20;Salary account
248;1;POPLATEK MESICNE;1995-04-02;NRI account
249;28;POPLATEK MESICNE;1996-12-03;Savings account
250;56;POPLATEK MESICNE;1997-05-10;NRI account
251;74;POPLATEK MESICNE;1996-04-06;Salary account
252;19;POPLATEK MESICNE;1996-12-26;NRI account
253;46;POPLATEK MESICNE;1995-12-05;Savings account
255;68;POPLATEK MESICNE;1996-11-03;Savings account
256;37;POPLATEK MESICNE;1995-05-14;Savings account
257;11;POPLATEK MESICNE;1995-11-05;Salary account
258;64;POPLATEK MESICNE;1997-07-09;Savings account
259;2;POPLATEK MESICNE;1993-10-28;NRI account
260;24;POPLATEK MESICNE;1995-10-14;Savings account
261;54;POPLATEK MESICNE;1996-10-07;NRI account
262;75;POPLATEK MESICNE;1996-01-27;Salary account
263;64;POPLATEK TYDNE;1997-01-03;Savings account
264;15;POPLATEK MESICNE;1996-02-09;NRI account
265;19;POPLATEK MESICNE;1996-07-05;NRI account
266;47;POPLATEK MESICNE;1994-05-11;NRI account
267;38;POPLATEK MESICNE;1995-04-26;NRI account
268;3;POPLATEK MESICNE;1996-05-29;Savings account
269;3;POPLATEK MESICNE;1996-08-30;Salary account
270;27;POPLATEK MESICNE;1995-01-23;Savings account
271;1;POPLATEK MESICNE;1996-08-13;NRI account
272;11;POPLATEK MESICNE;1996-10-23;Salary account
273;24;POPLATEK PO OBRATU;1993-07-11;NRI account
274;76;POPLATEK MESICNE;1993-08-20;NRI account
275;29;POPLATEK MESICNE;1996-01-02;Salary account
276;38;POPLATEK MESICNE;1997-12-08;Savings account
277;32;POPLATEK PO OBRATU;1994-05-01;NRI account
278;73;POPLATEK MESICNE;1996-04-08;Salary account
279;39;POPLATEK MESICNE;1993-04-14;NRI account
280;25;POPLATEK MESICNE;1993-01-23;NRI account
281;1;POPLATEK MESICNE;1996-10-27;NRI account
282;69;POPLATEK MESICNE;1997-05-12;Savings account
283;44;POPLATEK MESICNE;1996-04-18;Savings account
284;54;POPLATEK MESICNE;1997-07-18;Savings account
285;17;POPLATEK MESICNE;1995-05-08;NRI account
286;71;POPLATEK MESICNE;1996-03-27;NRI account
287;16;POPLATEK MESICNE;1993-10-27;NRI account
288;25;POPLATEK MESICNE;1995-03-18;Savings account
289;1;POPLATEK MESICNE;1994-03-17;Savings account
290;56;POPLATEK MESICNE;1993-12-02;Savings account
291;7;POPLATEK MESICNE;1997-06-08;NRI account
292;49;POPLATEK MESICNE;1997-02-26;Savings account
293;1;POPLATEK MESICNE;1997-05-04;Salary account
294;7;POPLATEK MESICNE;1997-01-05;Savings account
295;66;POPLATEK MESICNE;1997-11-23;NRI account
296;49;POPLATEK MESICNE;1996-02-14;Savings account
297;74;POPLATEK MESICNE;1996-09-08;Savings account
298;35;POPLATEK MESICNE;1997-12-02;Savings account
299;77;POPLATEK MESICNE;1993-04-05;Salary account
300;1;POPLATEK MESICNE;1993-06-23;NRI account
301;60;POPLATEK MESICNE;1995-09-10;Salary account
302;7;POPLATEK MESICNE;1996-05-09;Salary account
303;71;POPLATEK MESICNE;1996-07-25;Savings account
304;4;POPLATEK MESICNE;1997-03-20;Savings account
305;34;POPLATEK MESICNE;1996-10-18;NRI account
306;16;POPLATEK MESICNE;1993-06-08;Salary account
307;26;POPLATEK MESICNE;1997-08-07;Savings account
308;61;POPLATEK MESICNE;1995-10-16;Salary account
309;14;POPLATEK MESICNE;1997-04-25;NRI account
311;50;POPLATEK MESICNE;1997-08-08;NRI account
312;41;POPLATEK MESICNE;1996-01-03;Salary account
313;73;POPLATEK MESICNE;1996-07-06;Salary account
314;15;POPLATEK PO OBRATU;1996-01-26;Salary account
315;45;POPLATEK MESICNE;1997-12-08;NRI account
316;62;POPLATEK MESICNE;1997-05-08;NRI account
317;76;POPLATEK MESICNE;1993-03-10;Salary account
318;36;POPLATEK MESICNE;1994-09-16;Salary account
319;47;POPLATEK TYDNE;1995-10-17;NRI account
320;47;POPLATEK MESICNE;1997-01-23;Salary account
321;47;POPLATEK MESICNE;1993-11-11;Savings account
322;1;POPLATEK MESICNE;1993-02-20;NRI account
323;52;POPLATEK MESICNE;1997-02-23;Savings account
324;1;POPLATEK MESICNE;1996-08-23;Salary account
325;75;POPLATEK MESICNE;1996-10-06;Savings account
326;61;POPLATEK MESICNE;1997-08-06;NRI account
327;54;POPLATEK MESICNE;1993-06-02;Salary account
328;1;POPLATEK MESICNE;1997-09-18;NRI account
329;3;POPLATEK MESICNE;1996-10-19;NRI account
330;42;POPLATEK MESICNE;1996-11-24;Salary account
331;65;POPLATEK MESICNE;1995-10-02;Savings account
332;36;POPLATEK MESICNE;1996-01-12;Salary account
333;73;POPLATEK MESICNE;1996-12-23;Salary account
334;1;POPLATEK MESICNE;1993-05-24;NRI account
335;74;POPLATEK MESICNE;1996-01-20;Salary account
336;62;POPLATEK MESICNE;1995-10-16;Salary account
337;17;POPLATEK MESICNE;1995-11-25;Salary account
338;49;POPLATEK MESICNE;1995-11-18;Savings account
339;46;POPLATEK TYDNE;1996-09-11;Salary account
340;1;POPLATEK MESICNE;1993-11-03;NRI account
341;28;POPLATEK MESICNE;1996-11-19;Savings account
342;64;POPLATEK MESICNE;1996-10-13;NRI account
343;18;POPLATEK MESICNE;1994-04-26;Salary account
344;54;POPLATEK MESICNE;1993-12-01;NRI account
345;5;POPLATEK MESICNE;1993-11-20;Savings account
346;37;POPLATEK MESICNE;1993-01-11;Savings account
347;65;POPLATEK MESICNE;1993-12-13;Salary account
348;25;POPLATEK MESICNE;1995-11-15;NRI account
349;72;POPLATEK MESICNE;1997-06-08;NRI account
350;47;POPLATEK MESICNE;1996-10-13;Savings account
351;50;POPLATEK MESICNE;1997-02-17;NRI account
352;39;POPLATEK MESICNE;1994-07-04;Salary account
353;24;POPLATEK MESICNE;1995-08-30;NRI account
354;59;POPLATEK MESICNE;1993-10-28;NRI account
355;62;POPLATEK TYDNE;1996-02-01;NRI account
356;70;POPLATEK MESICNE;1996-03-12;Salary account
357;20;POPLATEK MESICNE;1996-03-10;Savings account
358;12;POPLATEK MESICNE;1993-12-09;Savings account
359;11;POPLATEK MESICNE;1994-12-11;Salary account
360;32;POPLATEK MESICNE;1996-05-14;Savings account
361;51;POPLATEK MESICNE;1993-02-27;Salary account
362;15;POPLATEK MESICNE;1993-04-04;Salary account
363;1;POPLATEK MESICNE;1994-05-06;Salary account
364;1;POPLATEK MESICNE;1997-01-20;Savings account
365;74;POPLATEK MESICNE;1993-12-12;Salary account
366;1;POPLATEK MESICNE;1996-10-23;Salary account
367;23;POPLATEK MESICNE;1997-05-09;NRI account
368;77;POPLATEK MESICNE;1993-07-06;Salary account
370;25;POPLATEK MESICNE;1994-02-18;Salary account
371;12;POPLATEK MESICNE;1996-08-02;Salary account
372;55;POPLATEK MESICNE;1995-09-10;Savings account
373;67;POPLATEK MESICNE;1996-06-20;NRI account
374;38;POPLATEK MESICNE;1993-01-09;Savings account
375;68;POPLATEK MESICNE;1996-06-07;NRI account
376;25;POPLATEK MESICNE;1995-03-05;NRI account
377;70;POPLATEK MESICNE;1994-08-19;Savings account
378;68;POPLATEK MESICNE;1996-07-22;NRI account
379;32;POPLATEK MESICNE;1996-05-18;Salary account
381;68;POPLATEK MESICNE;1993-07-04;NRI account
382;14;POPLATEK MESICNE;1996-08-16;Savings account
383;38;POPLATEK MESICNE;1997-05-15;Salary account
384;24;POPLATEK TYDNE;1997-09-14;NRI account
385;5;POPLATEK MESICNE;1993-04-07;NRI account
386;1;POPLATEK MESICNE;1997-08-11;Savings account
387;72;POPLATEK MESICNE;1997-09-19;Salary account
388;59;POPLATEK MESICNE;1995-02-11;NRI account
389;30;POPLATEK MESICNE;1993-08-28;Salary account
390;44;POPLATEK MESICNE;1996-02-16;Salary account
391;36;POPLATEK MESICNE;1993-12-11;NRI account
392;1;POPLATEK MESICNE;1996-07-14;NRI account
393;46;POPLATEK MESICNE;1995-02-04;NRI account
395;1;POPLATEK MESICNE;1993-03-12;Savings account
396;21;POPLATEK MESICNE;1993-03-08;Salary account
397;11;POPLATEK MESICNE;1993-10-26;NRI account
398;69;POPLATEK MESICNE;1997-10-24;NRI account
399;1;POPLATEK MESICNE;1996-08-27;Savings account
400;28;POPLATEK MESICNE;1993-07-17;NRI account
401;32;POPLATEK MESICNE;1993-01-18;Savings account
402;68;POPLATEK MESICNE;1997-09-14;Salary account
403;1;POPLATEK MESICNE;1993-07-29;NRI account
404;41;POPLATEK MESICNE;1995-04-28;Savings account
405;55;POPLATEK MESICNE;1997-03-13;NRI account
406;63;POPLATEK MESICNE;1996-09-03;NRI account
407;72;POPLATEK TYDNE;1997-04-18;Salary account
408;41;POPLATEK MESICNE;1993-07-21;Savings account
409;1;POPLATEK MESICNE;1996-06-11;NRI account
410;49;POPLATEK MESICNE;1996-10-15;Savings account
411;70;POPLATEK MESICNE;1993-02-05;Savings account
412;74;POPLATEK MESICNE;1996-01-21;NRI account
413;18;POPLATEK MESICNE;1996-07-09;NRI account
414;1;POPLATEK MESICNE;1996-01-29;Salary account
415;25;POPLATEK MESICNE;1993-03-03;NRI account
416;6;POPLATEK MESICNE;1996-08-11;Salary account
417;73;POPLATEK MESICNE;1996-01-27;Salary account
418;36;POPLATEK MESICNE;1995-08-27;NRI account
419;13;POPLATEK MESICNE;1993-10-25;NRI account
420;75;POPLATEK MESICNE;1995-08-26;Salary account
421;75;POPLATEK MESICNE;1997-11-27;NRI account
422;53;POPLATEK TYDNE;1994-08-29;NRI account
423;12;POPLATEK MESICNE;1993-03-28;Savings account
424;12;POPLATEK MESICNE;1997-02-17;NRI account
425;9;POPLATEK MESICNE;1993-03-19;Salary account
426;1;POPLATEK MESICNE;1993-11-29;Salary account
427;8;POPLATEK MESICNE;1994-07-24;Savings account
428;1;POPLATEK MESICNE;1993-02-27;Savings account
429;63;POPLATEK MESICNE;1995-09-03;NRI account
430;54;POPLATEK MESICNE;1995-09-02;Savings account
431;18;POPLATEK MESICNE;1996-11-05;NRI account
432;46;POPLATEK MESICNE;1993-06-16;NRI account
433;20;POPLATEK MESICNE;1993-06-12;Savings account
434;1;POPLATEK MESICNE;1996-12-24;Savings account
435;38;POPLATEK MESICNE;1993-01-08;NRI account
436;30;POPLATEK MESICNE;1996-08-07;NRI account
437;43;POPLATEK MESICNE;1993-12-03;NRI account
438;37;POPLATEK MESICNE;1997-06-23;Salary account
439;69;POPLATEK MESICNE;1996-04-15;NRI account
440;29;POPLATEK MESICNE;1996-12-22;Savings account
441;27;POPLATEK TYDNE;1993-12-17;NRI account
442;54;POPLATEK MESICNE;1997-03-30;Salary account
443;64;POPLATEK MESICNE;1993-01-28;Salary account
444;26;POPLATEK MESICNE;1996-05-09;NRI account
445;63;POPLATEK TYDNE;1993-07-29;NRI account
446;50;POPLATEK MESICNE;1993-06-15;NRI account
447;5;POPLATEK MESICNE;1996-08-14;Savings account
449;19;POPLATEK MESICNE;1994-11-22;Savings account
450;59;POPLATEK MESICNE;1996-05-28;NRI account
451;11;POPLATEK MESICNE;1994-05-05;Savings account
452;63;POPLATEK MESICNE;1995-11-29;Savings account
453;75;POPLATEK MESICNE;1997-04-24;Salary account
454;7;POPLATEK MESICNE;1995-05-07;NRI account
455;54;POPLATEK MESICNE;1995-04-23;Salary account
456;49;POPLATEK MESICNE;1993-01-21;Savings account
458;7;POPLATEK MESICNE;1995-06-16;Savings account
459;47;POPLATEK MESICNE;1993-01-21;NRI account
460;1;POPLATEK MESICNE;1994-04-18;NRI account
461;30;POPLATEK MESICNE;1993-02-18;Salary account
462;29;POPLATEK MESICNE;1993-11-10;NRI account
463;51;POPLATEK MESICNE;1995-05-08;Salary account
464;43;POPLATEK MESICNE;1997-05-28;Salary account
465;32;POPLATEK MESICNE;1993-02-04;Salary account
466;71;POPLATEK MESICNE;1996-02-18;NRI account
467;74;POPLATEK MESICNE;1993-09-24;Salary account
468;49;POPLATEK MESICNE;1996-03-19;NRI account
469;72;POPLATEK MESICNE;1997-07-14;Salary account
470;64;POPLATEK MESICNE;1994-03-23;Savings account
471;47;POPLATEK MESICNE;1995-06-07;NRI account
472;8;POPLATEK MESICNE;1996-10-11;Salary account
473;73;POPLATEK MESICNE;1996-10-20;NRI account
474;61;POPLATEK MESICNE;1995-12-06;Savings account
475;3;POPLATEK MESICNE;1997-05-11;Salary account
476;69;POPLATEK MESICNE;1997-04-11;Salary account
477;1;POPLATEK MESICNE;1993-01-25;Salary account
478;58;POPLATEK MESICNE;1994-07-16;NRI account
479;1;POPLATEK MESICNE;1995-11-05;Salary account
480;23;POPLATEK MESICNE;1997-01-21;Salary account
481;72;POPLATEK MESICNE;1996-04-23;Savings account
483;70;POPLATEK MESICNE;1997-07-15;Salary account
484;1;POPLATEK MESICNE;1995-01-20;Salary account
485;6;POPLATEK PO OBRATU;1993-01-04;NRI account
486;33;POPLATEK MESICNE;1995-11-21;NRI account
487;40;POPLATEK MESICNE;1995-11-14;Salary account
488;25;POPLATEK MESICNE;1996-06-20;Salary account
489;16;POPLATEK MESICNE;1993-05-17;NRI account
490;45;POPLATEK MESICNE;1995-05-23;NRI account
491;44;POPLATEK MESICNE;1996-05-12;Salary account
492;5;POPLATEK MESICNE;1993-10-10;Savings account
493;26;POPLATEK MESICNE;1994-04-05;NRI account
494;60;POPLATEK MESICNE;1993-03-11;Savings account
496;69;POPLATEK MESICNE;1993-02-26;NRI account
497;55;POPLATEK MESICNE;1993-04-15;Savings account
498;1;POPLATEK MESICNE;1993-11-21;NRI account
500;56;POPLATEK MESICNE;1996-04-27;Savings account
501;13;POPLATEK MESICNE;1995-10-21;NRI account
502;1;POPLATEK MESICNE;1997-10-13;Salary account
503;1;POPLATEK MESICNE;1996-08-08;NRI account
504;73;POPLATEK MESICNE;1993-04-21;Savings account
505;64;POPLATEK MESICNE;1996-12-16;NRI account
506;67;POPLATEK MESICNE;1996-07-08;NRI account
507;52;POPLATEK MESICNE;1996-06-17;NRI account
508;74;POPLATEK MESICNE;1996-11-19;NRI account
509;36;POPLATEK MESICNE;1997-08-14;NRI account
510;1;POPLATEK TYDNE;1993-06-02;Savings account
511;14;POPLATEK MESICNE;1996-11-10;NRI account
512;68;POPLATEK MESICNE;1997-01-14;Savings account
513;58;POPLATEK MESICNE;1996-11-21;Salary account
514;70;POPLATEK MESICNE;1996-03-30;NRI account
515;57;POPLATEK MESICNE;1995-02-09;NRI account
516;6;POPLATEK MESICNE;1996-02-08;Salary account
517;76;POPLATEK MESICNE;1993-09-22;Salary account
518;74;POPLATEK MESICNE;1994-09-09;Salary account
519;24;POPLATEK MESICNE;1993-11-12;Salary account
520;60;POPLATEK MESICNE;1993-11-04;Savings account
521;9;POPLATEK MESICNE;1995-10-08;Salary account
522;17;POPLATEK MESICNE;1995-12-20;NRI account
